codigo_curso	curriculo	codigo_disciplina	codigo_prerequisito
13301100	1995	1303002	1303001
13301100	1995	1301004	1301001
13301100	1995	1109084	1109083
13301100	1995	1301063	1301041
13301100	1995	1301026	1301005
13301100	1995	1114031	1109084
13301100	1995	1305073	1305072
13301100	1995	1301027	1301026
13301100	1995	1301057	1301011
13301100	1995	1301057	1301004
13301100	1995	1114032	1114031
13301100	1995	1305074	1305072
13301100	1995	1301061	1301027
13301100	1995	1301062	1301086
13301100	1995	1301066	1301072
13301100	1995	1301068	1301027
13301100	1995	1301058	1301057
13301100	1995	1301064	1301027
13301100	1995	1301073	1301072
13301100	1995	1301070	1301073
13301100	1995	1301067	1301066
13301100	1995	1301069	1301068
13301100	1995	1301065	1301064
13301100	1995	1301037	1301058
13301100	1995	1301037	1301073
13301100	1995	1301003	1301037
13301100	1995	1301071	1301070
13301100	1995	1301007	1301058
13301100	1995	1301085	1114031
13301100	1995	1301040	1301037
13301100	1995	1301019	1109084
13301100	1995	1411138	1301072
13301100	1995	1301029	1301031
13301100	1995	1301031	1301001
13301100	1995	1301075	1301001
13301100	1995	1305075	1305072
13301100	1995	1303012	1303002
13301100	1995	1301074	1114031
13301200	1995	1303002	1303001
13301200	1995	1301004	1301001
13301200	1995	1109084	1109083
13301200	1995	1301026	1301005
13301200	1995	1301027	1301026
13301200	1995	1114031	1109084
13301200	1995	1305073	1305072
13301200	1995	1301072	1301027
13301200	1995	1301072	1411137
13301200	1995	1301063	1305027
13301200	1995	1301057	1301011
13301200	1995	1301057	1301004
13301200	1995	1114032	1114031
13301200	1995	1301073	1301072
13301200	1995	1301061	1301027
13301200	1995	1301062	1304015
13301200	1995	1301066	1301072
13301200	1995	1301068	1301027
13301200	1995	1301058	1301057
13301200	1995	1301064	1301027
13301200	1995	1305074	1305072
13301200	1995	1301070	1301073
13301200	1995	1301067	1301066
13301200	1995	1301069	1301068
13301200	1995	1301065	1301064
13301200	1995	1301037	1301058
13301200	1995	1301037	1301072
13301200	1995	1411138	1301072
13301200	1995	1301071	1301070
13301200	1995	1301040	1301037
13301200	1995	1301019	1109084
13301200	1995	1301003	1301037
13301200	1995	1301007	1301058
13301200	1995	1301085	1114031
13301200	1995	1301075	1301001
13301200	1995	1305075	1305072
13301200	1995	1305052	1114031
13301200	1995	1301074	1114031
31301200	2009	3103029	3103028
31301200	2009	3103070	3103067
31301200	2009	3103079	3103028
31301200	2009	3103075	3103067
31301200	2009	3103083	3103076
31301200	2009	3103084	3103078
31301200	2009	3103004	3103077
31301200	2009	3103086	3103082
31301200	2009	3103006	3103004
31301200	2009	3103088	3103074
31301200	2009	3103089	3103085
31301200	2009	3103091	3103087
31301200	2009	3103092	3103029
31301200	2009	3103092	3103077
31301200	2009	3103093	3103073
31301200	2009	3103090	3103079
31301200	2009	3103094	3103092
31301200	2009	3103095	3103081
31301200	2009	3103100	3103030
31301200	2009	3103098	3103094
31301200	2009	3103103	3103054
31301200	2009	3103105	3103098
31301200	2009	3103106	3103103
31301200	2009	3103107	3103100
91402100	2006	9101082	9101069
91402100	2006	9101084	9101100
91402100	2006	9101087	9101093
91402100	2006	9101065	9101077
91402100	2006	9101085	9101112
91402100	2006	9101086	9101114
91402100	2006	9101088	9101070
91402100	2006	9101090	9101089
91402100	2006	9101089	9101080
91402100	2006	9101070	9101066
91402100	2006	9101091	9101070
91402100	2006	9101092	9101100
91402100	2006	9101093	9101076
91402100	2006	9101095	9101094
91402100	2006	9101094	9101075
91402100	2006	9101096	9101115
91402100	2006	9101097	9101114
91402100	2006	9101098	9101093
91402100	2006	9101099	9101098
91402100	2006	9101071	9101079
91402100	2006	9101101	9101081
91402100	2006	9101101	9101093
91402100	2006	9101102	9101073
91402100	2006	9101102	9101114
91402100	2006	9101103	9101102
91402100	2006	9101104	9101084
91402100	2006	9101105	9101073
91402100	2006	9101106	9101071
91402100	2006	9101107	9101075
91402100	2006	9101076	9101067
91402100	2006	9101108	9101093
91402100	2006	9101108	9101092
91402100	2006	9101109	9101093
91402100	2006	9101142	9101109
91402100	2006	9101110	9101093
91402100	2006	9101077	9101078
91402100	2006	9101111	9101093
91402100	2006	9101079	9101076
91402100	2006	9101113	9101099
91402100	2006	9101113	9101115
91402100	2006	9101114	9101068
91402100	2006	9101115	9101080
91402100	2007	9101082	9101069
91402100	2007	9101084	9101100
91402100	2007	9101087	9101093
91402100	2007	9101065	9101077
91402100	2007	9101085	9101112
91402100	2007	9101086	9101114
91402100	2007	9101088	9101070
91402100	2007	9101090	9101089
91402100	2007	9101089	9101080
91402100	2007	9101070	9101066
91402100	2007	9101091	9101070
91402100	2007	9101092	9101100
91402100	2007	9101093	9101076
91402100	2007	9101093	9101065
91402100	2007	9101095	9101094
91402100	2007	9101094	9101075
91402100	2007	9101096	9101115
91402100	2007	9101097	9101114
91402100	2007	9101098	9101093
91402100	2007	9101099	9101098
91402100	2007	9101071	9101067
91402100	2007	9101101	9101081
91402100	2007	9101101	9101093
91402100	2007	9101102	9101073
91402100	2007	9101102	9101114
91402100	2007	9101103	9101102
91402100	2007	9101104	9101084
91402100	2007	9101105	9101073
91402100	2007	9101106	9101071
91402100	2007	9101107	9101075
91402100	2007	9101076	9101067
91402100	2007	9101108	9101093
91402100	2007	9101108	9101092
91402100	2007	9101109	9101093
91402100	2007	9101142	9101109
91402100	2007	9101110	9101093
91402100	2007	9101077	9101078
91402100	2007	9101111	9101093
91402100	2007	9101079	9101076
91402100	2007	9101113	9101099
91402100	2007	9101113	9101142
91402100	2007	9101113	9101115
91402100	2007	9101114	9101068
91402100	2007	9101115	9101080
91402100	2008	9101070	9101066
91402100	2008	9101076	9101067
91402100	2008	9101077	9101078
91402100	2008	9101065	9101077
91402100	2008	9101091	9101070
91402100	2008	9101079	9101076
91402100	2008	9101114	9101068
91402100	2008	9101082	9101069
91402100	2008	9101084	9101100
91402100	2008	9101093	9101076
91402100	2008	9101093	9101065
91402100	2008	9101102	9101073
91402100	2008	9101102	9101114
91402100	2008	9101092	9101081
91402100	2008	9101092	9101100
91402100	2008	9101097	9101114
91402100	2008	9101071	9101067
91402100	2008	9101103	9101102
91402100	2008	9101105	9101073
91402100	2008	9101107	9101075
91402100	2008	9101090	9101089
91402100	2008	9101089	9101080
91402100	2008	9101094	9101075
91402100	2008	9101104	9101084
91402100	2008	9101106	9101071
91402100	2008	9101108	9101093
91402100	2008	9101108	9101092
91402100	2008	9101115	9101080
91402100	2008	9101086	9101114
91402100	2008	9101095	9101094
91402100	2008	9101098	9101081
91402100	2008	9101098	9101093
91402100	2008	9101109	9101081
91402100	2008	9101109	9101093
91402100	2008	9101110	9101093
91402100	2008	9101087	9101093
91402100	2008	9101085	9101112
91402100	2008	9101099	9101098
91402100	2008	9101101	9101081
91402100	2008	9101101	9101093
91402100	2008	9101142	9101109
91402100	2008	9101088	9101070
91402100	2008	9101096	9101115
91402100	2008	9101111	9101093
91402100	2008	9101113	9101099
91402100	2008	9101113	9101142
91402100	2008	9101113	9101115
15101100	2010	1113023	1113008
15101100	2010	1302059	1302056
15101100	2010	1108081	1108030
15101100	2010	1503126	1305298
15101100	2010	1503127	1113023
15101100	2010	1503128	1503120
15101100	2010	1503128	1302236
15101100	2010	1503129	1109126
15101100	2010	1503129	1108030
15101100	2010	1503130	1302056
15101100	2010	1503131	1113023
15101100	2010	1503140	1503125
15101100	2010	1503140	1108081
15101100	2010	1503137	1113023
15101100	2010	1503137	1503122
15101100	2010	1503135	1503127
15101100	2010	1503136	1113023
15101100	2010	1503136	1503121
15101100	2010	1503139	1503129
15101100	2010	1503134	1302059
15101100	2010	1503144	1503126
15101100	2010	1503146	1503129
15101100	2010	1503146	1503128
15101100	2010	1503145	1503138
15101100	2010	1503143	1503128
